               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.021631,            0.010443,          0.00014267,             0.94722,             0.92708,             0.96271,             0.73052,            0.014085,           0.0042079,          6.3976e-05,            0.003268,            0.003268,            0.003268
                  36,            0.020974,           0.0099999,          0.00012193,              0.9656,             0.92149,               0.963,             0.73113,            0.014364,           0.0043988,           5.588e-05,             0.00307,             0.00307,             0.00307
                  37,            0.021138,           0.0099993,           0.0001178,             0.94306,             0.92769,             0.95966,              0.7399,            0.013429,           0.0042719,          5.4883e-05,            0.002872,            0.002872,            0.002872
                  38,            0.020849,           0.0099287,           0.0001047,             0.95721,             0.92434,             0.96543,             0.73889,            0.013727,           0.0042558,          4.8627e-05,            0.002674,            0.002674,            0.002674
                  39,            0.021275,           0.0099033,          0.00010304,             0.95116,             0.92547,             0.96454,              0.7383,            0.013322,           0.0042298,           4.732e-05,            0.002476,            0.002476,            0.002476
                  40,            0.020139,           0.0097481,          9.6021e-05,             0.95656,                0.91,             0.95987,             0.72809,             0.01389,           0.0041785,          4.0233e-05,            0.002278,            0.002278,            0.002278
                  41,            0.020123,           0.0098724,          9.7511e-05,             0.97466,             0.93595,             0.97013,             0.74119,            0.013298,           0.0042679,          3.8103e-05,             0.00208,             0.00208,             0.00208
                  42,            0.019675,            0.009662,          9.3298e-05,             0.96072,             0.92562,             0.96411,              0.7398,            0.013557,           0.0041677,           3.554e-05,            0.001882,            0.001882,            0.001882
                  43,            0.019739,           0.0095037,          9.1438e-05,             0.95306,             0.92149,              0.9597,             0.74165,            0.013572,           0.0041526,          3.3862e-05,            0.001684,            0.001684,            0.001684
                  44,            0.018846,           0.0094855,          8.6239e-05,             0.96128,             0.92328,             0.96557,             0.74788,            0.013147,           0.0042199,          3.0527e-05,            0.001486,            0.001486,            0.001486
                  45,            0.018762,           0.0095235,          8.0296e-05,             0.96255,             0.92149,             0.96213,             0.74606,            0.013062,           0.0041023,          2.9506e-05,            0.001288,            0.001288,            0.001288
                  46,            0.019353,           0.0094119,          7.6664e-05,             0.93999,             0.93846,             0.96441,             0.75011,            0.012865,           0.0040301,          2.6825e-05,             0.00109,             0.00109,             0.00109
                  47,            0.018596,           0.0093992,           7.232e-05,             0.94522,             0.92684,             0.96497,             0.75477,            0.012797,           0.0040598,           2.481e-05,            0.000892,            0.000892,            0.000892
                  48,            0.018899,           0.0094458,          7.0061e-05,             0.95529,              0.9271,             0.96601,             0.75729,            0.012772,           0.0040749,          2.3658e-05,            0.000694,            0.000694,            0.000694
                  49,            0.017858,           0.0091181,          7.0886e-05,             0.94967,             0.93558,             0.96706,             0.75999,            0.012816,           0.0040652,          2.3818e-05,            0.000496,            0.000496,            0.000496
